valid_time,u100,v100,u10,v10,wind_10,wind_100
2020-01-10 14:00:00,-0.78782976,-5.051989,-0.5857784,-3.910499,4.884649,6.2610493
2020-01-10 15:00:00,-1.1299068,-5.090394,-0.8543875,-3.893684,4.8238745,6.281122
2020-01-10 16:00:00,-1.2998492,-5.0023065,-0.95259064,-3.6767116,4.556394,6.2101297
2020-01-10 17:00:00,-1.3598002,-4.97834,-0.8634276,-3.3562148,4.2039742,6.1970243
2020-01-10 18:00:00,-1.4799657,-5.045524,-0.90734303,-3.31177,4.1477747,6.268302
2020-01-10 19:00:00,-1.7054868,-5.0620856,-1.049068,-3.293898,4.143116,6.314404
2020-01-10 20:00:00,-1.8992229,-4.942047,-1.1618818,-3.2070215,4.089853,6.250391
2020-01-10 21:00:00,-2.0809705,-4.793015,-1.265967,-3.1182575,4.0454893,6.1728964
2020-01-10 22:00:00,-2.497178,-4.234068,-1.5266545,-2.790644,3.9467983,5.985901
2020-01-10 23:00:00,-2.4698608,-4.114735,-1.5291884,-2.7277212,3.9025197,5.876708
2020-01-11 00:00:00,-2.4147859,-4.056407,-1.5188261,-2.682956,3.869669,5.778161
2020-01-11 01:00:00,-2.392631,-4.0216093,-1.5532509,-2.6383266,3.8698878,5.7491226
2020-01-11 02:00:00,-2.4951634,-3.8721359,-1.6651281,-2.5484328,3.8812308,5.744816
2020-01-11 03:00:00,-2.5532207,-3.67641,-1.7274672,-2.4433053,3.8801155,5.7109604
2020-01-11 04:00:00,-2.5474699,-3.5367382,-1.7268022,-2.3763635,3.8545008,5.668383
2020-01-11 05:00:00,-2.4979582,-3.4134796,-1.7047681,-2.3321843,3.7872968,5.538098
2020-01-11 06:00:00,-2.5298307,-3.249344,-1.7224323,-2.2586894,3.746333,5.4261727
2020-01-11 07:00:00,-2.475449,-3.085476,-1.6844383,-2.1758864,3.7035847,5.310621
2020-01-11 08:00:00,-2.4575975,-2.9269738,-1.6672671,-2.1023512,3.6830318,5.232877
2020-01-11 09:00:00,-2.3851275,-2.7130127,-1.7140158,-2.093066,3.7711964,5.0737906
2020-01-11 10:00:00,-2.0797193,-2.0246184,-1.6515313,-1.7147487,3.486305,4.434077
2020-01-11 11:00:00,-1.916151,-1.8755373,-1.6178638,-1.6420679,3.4390538,4.171152
2020-01-11 12:00:00,-1.7269659,-1.8356975,-1.4815933,-1.5924058,3.380624,4.0209966
2020-01-11 13:00:00,-1.5309511,-1.7814635,-1.3333521,-1.5408275,3.337412,3.9515622
2020-01-11 14:00:00,-1.4117887,-1.7987655,-1.240871,-1.5432647,3.2888212,3.8998983
2020-01-11 15:00:00,-1.3414351,-1.811674,-1.1849513,-1.5385182,3.2132595,3.838501
2020-01-11 16:00:00,-1.2909131,-1.7642171,-1.196169,-1.4245201,2.9562783,3.782131
2020-01-11 17:00:00,-1.1548352,-1.7681519,-0.9680845,-1.3907818,2.9782794,3.8021436
2020-01-11 18:00:00,-1.0755391,-1.8068315,-0.9134402,-1.402639,2.915234,3.744965
2020-01-11 19:00:00,-0.99882376,-1.7373227,-0.89542603,-1.3276101,2.7836673,3.6223423
2020-01-11 20:00:00,-0.9868933,-1.631096,-0.9216353,-1.2108186,2.6874044,3.4939146
2020-01-11 21:00:00,-0.9497278,-1.4339162,-0.89661294,-1.0468224,2.590994,3.3724582
2020-01-11 22:00:00,-0.5547873,-1.2308578,-0.64191794,-0.9487309,2.5403562,3.354183
2020-01-11 23:00:00,-0.49560842,-1.0745218,-0.57839334,-0.83994144,2.451494,3.2330818
2020-01-12 00:00:00,-0.33376074,-1.0099984,-0.45643407,-0.7959321,2.3920972,3.1368606
2020-01-12 01:00:00,-0.20156153,-0.9585205,-0.35375473,-0.739669,2.3412452,3.0416403
2020-01-12 02:00:00,-0.11943446,-0.94588983,-0.28936896,-0.72356343,2.3233035,3.0092497
2020-01-12 03:00:00,-0.055303555,-0.88871247,-0.2325515,-0.68418455,2.3084104,2.999896
2020-01-12 04:00:00,0.054723486,-0.9137621,-0.1488356,-0.68029225,2.302878,3.028119
2020-01-12 05:00:00,0.11289773,-0.9005534,-0.09729445,-0.6509813,2.3155825,3.0676608
2020-01-12 06:00:00,0.119010314,-0.9443329,-0.07233495,-0.66968006,2.310655,3.0573642
